frntype_sh;fietstrace;gemeente;lstrnm;rstrnm;lengte;wegcategor;beheer_shp;bff_datum_;ident8_opl;ident8_afl;latWGS84;loWGS84;Aangemaakt op
functionele fietsroute;31005_Stationslaan_10388;Brugge;Stationslaan;Stationslaan;186,00000000000000000;secundaire weg type 3;AWV - District Brugge;20141231;N3420001;N3420002;51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358,51.2040303836358;3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579,3.20842623898579;23/06/2016
functionele fietsroute;31043_<straatnaam_ongekend>_10807;Knokke-Heist;;;41,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;;N0349012;51.3377899857085,51.3377899857085,51.3377899857085,51.3377899857085,51.3377899857085,51.3377899857085;3.21749862029344,3.21749862029344,3.21749862029344,3.21749862029344,3.21749862029344,3.21749862029344;23/06/2016
functionele fietsroute;31005_Pathoekeweg_10377;Brugge;Pathoekeweg;Pathoekeweg;129,00000000000000000;lokale weg type 2;Stad Brugge;20141231;;;51.2557227768151,51.2557227768151,51.2557227768151,51.2557227768151,51.2557227768151;3.20978929168436,3.20978929168436,3.20978929168436,3.20978929168436,3.20978929168436;23/06/2016
functionele fietsroute;31005_Westkapelse Steenweg_10457;Brugge;Westkapelse Steenweg;Westkapelse Steenweg;128,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3760001;N3760002;51.295096362919,51.295096362919,51.295096362919;3.25824272382428,3.25824272382428,3.25824272382428;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;141,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1934860233946,51.1934860233946,51.1934860233946,51.1934860233946,51.1934860233946,51.1934860233946,51.1934860233946,51.1934860233946;3.26765032143345,3.26765032143345,3.26765032143345,3.26765032143345,3.26765032143345,3.26765032143345,3.26765032143345,3.26765032143345;23/06/2016
functionele fietsroute;31005_Koning Albert I-laan_10321;Brugge;Koning Albert I-laan;Koning Albert I-laan;206,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N3970001;N3970002;51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234,51.1662540339234;3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006,3.19376066098006;23/06/2016
functionele fietsroute;31005_Oostendse Steenweg_10370;Brugge;Oostendse Steenweg;Oostendse Steenweg;34,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N0090001;;51.2280786266072,51.2280786266072,51.2280786266072,51.2280786266072;3.19133708429616,3.19133708429616,3.19133708429616,3.19133708429616;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;61,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1939589199386,51.1939589199386,51.1939589199386,51.1939589199386,51.1939589199386;3.26464046015356,3.26464046015356,3.26464046015356,3.26464046015356,3.26464046015356;23/06/2016
functionele fietsroute;31005_<straatnaam_ongekend>_10439;Brugge;;;15,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N0090001;;51.22122042229,51.22122042229,51.22122042229,51.22122042229,51.22122042229,51.22122042229,51.22122042229;3.20683911298369,3.20683911298369,3.20683911298369,3.20683911298369,3.20683911298369,3.20683911298369,3.20683911298369;23/06/2016
functionele fietsroute;31005_Maalse Steenweg_10354;Brugge;Maalse Steenweg;Maalse Steenweg;67,00000000000000000;secundaire weg type 1;AWV - District Brugge;20141231;N0090001;;51.2076920327848,51.2076920327848,51.2076920327848,51.2076920327848,51.2076920327848,51.2076920327848,51.2076920327848,51.2076920327848;3.26862982487796,3.26862982487796,3.26862982487796,3.26862982487796,3.26862982487796,3.26862982487796,3.26862982487796,3.26862982487796;23/06/2016
functionele fietsroute;;Brugge;Gulden-Vlieslaan;Gulden-Vlieslaan;4,00000000000000000;secundaire weg type 3;AWV - District Brugge;20151229;R0300001;;51.2156402596876,51.2156402596876;3.21502897217939,3.21502897217939;23/06/2016
