Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Sint-Kruis;Polderstraat;Cruushove;banken met betonsokkel;7;51.2189778541649,51.2189778541649,51.2189778541649,51.2189778541649,51.2189778541649,51.2189778541649,51.2189778541649;3.25224686806599,3.25224686806599,3.25224686806599,3.25224686806599,3.25224686806599,3.25224686806599,3.25224686806599;22/06/2016
Sint-Andries;Wilgenroosstraat;parkje kant Oorlogsvrijwilligerslaa;banken met betonsokkel;2;51.1830585159664,51.1830585159664;3.17542330559599,3.17542330559599;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;plein voor gemeentehuis;banken met betonsokkel;15;51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193,51.214013668193;3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361,3.24847805873361;22/06/2016
Sint-Andries;Koude Keuken;zijkant beschermd gebied;banken met betonsokkel;1;51.2057723667151;3.18002632694063;22/06/2016
Sint-Pieters;Blankenbergse Steenweg;pleintje;banken met betonsokkel;4;51.2299186731401,51.2299186731401,51.2299186731401,51.2299186731401;3.20547827697624,3.20547827697624,3.20547827697624,3.20547827697624;22/06/2016
Centrum;Wijngaardplein;;zwanehalsbank;8;51.200696496315,51.200696496315,51.200696496315,51.200696496315,51.200696496315,51.200696496315,51.200696496315,51.200696496315;3.22406578495004,3.22406578495004,3.22406578495004,3.22406578495004,3.22406578495004,3.22406578495004,3.22406578495004,3.22406578495004;22/06/2016
Sint-Kruis;Veltemweg;rechtover huisnr 36;banken met betonsokkel;1;51.20770172114;3.25932593849842;22/06/2016
Sint-Andries;Tudor;kruidentuin;teak banken;6;51.1684678662442,51.1684678662442,51.1684678662442,51.1684678662442,51.1684678662442,51.1684678662442;3.16783667423078,3.16783667423078,3.16783667423078,3.16783667423078,3.16783667423078,3.16783667423078;22/06/2016
Sint-Jozef;Brugse Steenweg;Hoeve de Grendel;banken met betonsokkel;7;51.2303676928088,51.2303676928088,51.2303676928088,51.2303676928088,51.2303676928088,51.2303676928088,51.2303676928088;3.23793002664782,3.23793002664782,3.23793002664782,3.23793002664782,3.23793002664782,3.23793002664782,3.23793002664782;22/06/2016
Centrum;Vrijdagmarkt;;banken type 't Zand;4;51.2054639293811,51.2054639293811,51.2054639293811,51.2054639293811;3.21677642280066,3.21677642280066,3.21677642280066,3.21677642280066;22/06/2016
Sint-Michiels;Josué Maertenstraat;speelplein;banken met betonsokkel;1;51.1883736703964;3.21921741093205;22/06/2016
Centrum;Beursplein;;draadbanken;3;51.2042887218797,51.2042887218797,51.2042887218797;3.21414904293387,3.21414904293387,3.21414904293387;22/06/2016
Sint-Andries;Ter Lindenhof;Oude van dagen;banken met betonsokkel;2;51.2049079190404,51.2049079190404;3.20284759308039,3.20284759308039;22/06/2016
Centrum;Koning Albert I Laan;naast station;zwanehalsbank;24;51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048,51.1995789511048;3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961,3.21567477355961;22/06/2016
Sint-Jozef;Leon de Foerestraat;in parkje;banken met betonsokkel;2;51.2280371091785,51.2280371091785;3.23949072856442,3.23949072856442;22/06/2016
Christus-Koning;Gustave Vincke Dujardinstraat;;zwanehalsbank;1;51.2169252126689;3.21240628083387;22/06/2016
Koolkerke;Reigersnesten;op speelplein;banken met betonsokkel;3;51.2327239043707,51.2327239043707,51.2327239043707;3.25015319876881,3.25015319876881,3.25015319876881;22/06/2016
Sint-Pieters;Jezuïetengoed;speelplein;banken met betonsokkel;3;51.2345525606168,51.2345525606168,51.2345525606168;3.21277588748944,3.21277588748944,3.21277588748944;22/06/2016
Lissewege;Ter Doeststraat;thv nr 11, nr41, nr61 en nr91;banken met betonsokkel;4;51.2923552089577,51.2923552089577,51.2923552089577,51.2923552089577;3.19816734184063,3.19816734184063,3.19816734184063,3.19816734184063;22/06/2016
Centrum;Achiel van Ackerplein;;banken type 't Zand dubbel;4;51.2135013290497,51.2135013290497,51.2135013290497,51.2135013290497;3.21828283806525,3.21828283806525,3.21828283806525,3.21828283806525;22/06/2016
Centrum;Gloribusstraat;;zwanehalsbank;2;51.2034499194057,51.2034499194057;3.21714157673168,3.21714157673168;22/06/2016
Centrum;Beursplein;;draadbanken (dubbel);4;51.2041792575246,51.2041792575246,51.2041792575246,51.2041792575246;3.21409456510938,3.21409456510938,3.21409456510938,3.21409456510938;22/06/2016
Sint-Michiels;Walakker;aan garages;banken met betonsokkel;3;51.1826895112663,51.1826895112663,51.1826895112663;3.21910474829015,3.21910474829015,3.21910474829015;22/06/2016
Zwankendamme;Lisseweegse Steenweg;aan weg naar pompstation;banken met betonsokkel;1;51.3104583871662;3.19818552656271;22/06/2016
Sint-Andries;Edgard De Smedtplantsoen;petanque;banken met betonsokkel;4;51.2020618471916,51.2020618471916,51.2020618471916,51.2020618471916;3.20768521816615,3.20768521816615,3.20768521816615,3.20768521816615;22/06/2016
