Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 71;7,1;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,2852490;3,209033;51.2852490003989;3.20903300108497;06/07/2016
Km-punt op as waterweg;Verbindingsdok km 0.1;0,1;;Zeebrugge;Verbindingsdok;51,3114050;3,203721;51.311405000264;3.20372099931576;06/07/2016
Km-punt op as waterweg;Zuidelijk Insteekdok km 0.8;0,8;;Zeebrugge;Zuidelijk Insteekdok;51,3001140;3,235358;51.3001140003698;3.2353579997784;06/07/2016
Km-punt op as waterweg;Verbindingsdok km 2;2,0;;Zeebrugge;Verbindingsdok;51,3211130;3,222233;51.3211129999783;3.22223299874634;06/07/2016
Ligplaats met overslag;Ligplaats 916;-99,9;916;Brugge;Kanaal Brugge-Zeebrugge;51,2378690;3,221489;51.2378689994545;3.22148899994186;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 106;10,6;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3163120;3,201093;51.316311999763;3.20109299976008;06/07/2016
Ligplaats zonder overslag;Ligplaats 311;-99,9;311;Zeebrugge;Oud Ferrydok;51,3173450;3,196613;51.3173450005503;3.19661299886937;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 13.2;13,2;;Zeebrugge;Visartsluis - CDNB;51,3390510;3,198264;51.3390509995194;3.19826399956393;06/07/2016
Ligplaats met overslag;Ligplaats 523;-99,9;523;Zeebrugge;Zuidelijk Insteekdok;51,3011770;3,237447;51.3011769994973;3.23744699931102;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 80;8,0;;Lissewege;Kanaal Brugge-Zeebrugge;51,2932360;3,206989;51.2932359997208;3.20698900068946;06/07/2016
Km-punt op as waterweg;Zuidelijk Insteekdok km 1.3;1,3;;Zeebrugge;Zuidelijk Insteekdok;51,3041330;3,232151;51.3041330004887;3.23215100053167;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 16.4;16,4;;Zeebrugge;Visartsluis - CDNB;51,3629230;3,190830;51.3629230003971;3.19083000093504;06/07/2016
Dok;Brittanniadok;-99,9;;Zeebrugge;Brittaniadok;51,3428590;3,216617;51.3428589999313;3.21661700081682;06/07/2016
Km-punt op as waterweg;Verbindingsdok km 2.6;2,6;;Zeebrugge;Verbindingsdok;51,3265060;3,222283;51.3265059998362;3.22228299953276;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 15.2;15,2;;Zeebrugge;Visartsluis - CDNB;51,3549080;3,202204;51.3549080006565;3.20220399882938;06/07/2016
Terminal;LNG Terminal Fluxys;-99,9;;Zeebrugge;LNG;51,3523810;3,216301;51.3523809995276;3.2163009990991;06/07/2016
Ligplaats zonder overslag;Ligplaats 515;-99,9;515;Zeebrugge;Zuidelijk Insteekdok;51,2959060;3,235953;51.295905999415;3.23595299900311;06/07/2016
Km-punt op as waterweg;Verbindingsdok km 1.5;1,5;;Zeebrugge;Verbindingsdok;51,3165620;3,222016;51.3165619998495;3.22201599900079;06/07/2016
Km-punt op as waterweg;LNG km 0.7;0,7;;Zeebrugge;LNG;51,3486550;3,215281;51.34865499975;3.21528100027988;06/07/2016
Km-punt op as waterweg;Geul West - ZP1 km 0;0,0;;Zeebrugge;Geul West - ZP1;51,3338440;3,186845;51.3338440004166;3.1868449991895;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 13.3;13,3;;Zeebrugge;Visartsluis - CDNB;51,3398370;3,198960;51.3398369997232;3.19895999908179;06/07/2016
