DEELGEMEENTE;LIGGING;BELANG;COORDINATEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Brugge;Noord-Gistelhof t.h.v. nr. 2;algemeen belang;E 6;54;1;51.21479672584106;3.2238724875011746;02/05/2018
Sint-Kruis;Maalse Steenweg t.h.v. nr. 131;algemeen belang;n.o.p.;137;1;51.21008388665821;3.248504128532528;02/05/2018
Brugge;Sint-Clarastraat t.h.v. nr. 25;WZC Huize St-Clara;E 5;72;1;51.21467530363526;3.2223456543910225;02/05/2018
Assebroek;Collegestraat t.h.v. O.L.V-college;Hoofdingang OLV College;n.o.p.;6;1;51.20400196567001;3.250589818705606;02/05/2018
Brugge;Werfstraat t.h.v. nr. 88;dienstencentrum  't Werfje;D 4;88;1;51.21851217318376;3.2191151264115403;02/05/2018
Sint-Pieters;Jezu?etengoed thv nr 4;algemeen belang;;248;1;51.235279058739714;3.2123332961340627;02/05/2018
Brugge;Koningin Elisabethlaan thv nr 5;algemeen belang;;176;1;51.21609913692634;3.2171296653791126;02/05/2018
Sint-Andries;Lange Vesting tegenover nr. 90;OCMW-ontmoetingscentrum Jan Breydel;A 10;111;1;51.20685937161161;3.2102636832644085;02/05/2018
Brugge;Gerard Davidstraat 37;;;288;1;51.21486141171333;3.2066014840739525;02/05/2018
Koolkerke;Arendstraat;alg. belang;;262;1;51.24132643336805;3.248407987576809;02/05/2018
Zeebrugge;Sint-Thomas Morusstraat (nr. 1) hoek Zeedijk;strand;n.o.p.;169;2;51.328682298995176;3.1783456077436885;02/05/2018
Brugge;Verbrand Nieuwland tegenover nr. 35;algemeen belang;H 8;86;1;51.210474844535455;3.233917223062562;02/05/2018
Zeebrugge;Bastenakenstraat (zijkant kerk);kerk;n.o.p.;159;1;51.32824672304799;3.182743101470122;02/05/2018
Brugge;Verbrand Nieuwland t.h.v. nrs 17-19-21;Cadans vzw Begeleid Wonen;H 8;85;1;51.21039303903945;3.2330003616294136;02/05/2018
Zeebrugge;Sint-Donaaskerkstraat tgo de kerk;kerk Sint-Donaas;n.o.p.;168;1;51.331747579269894;3.2069416557776704;02/05/2018
Sint-Kruis;Moerkerkse Steenweg t.h.v. nr. 173;winkels, banken, apotheek, kerk;n.o.p.;139;1;51.21373265142337;3.249926196237704;02/05/2018
Brugge;Balstraat thv 16;alg. belang;;254;1;51.2132505661943;3.2335515490705413;02/05/2018
Brugge;Haarakkerstraat 4;;;321;1;51.21966646538687;3.2319613636003384;02/05/2018
Brugge;Koningin Elisabethlaan 32;;;290;1;51.215884391631654;3.2174260445221132;02/05/2018
Brugge;Korte Lane thv 12;particulier;;45;1;51.20783100689298;3.216870953043674;02/05/2018
Brugge;Boninvest 3;algemeen belang;;213;1;51.20377866281645;3.2351966526503206;02/05/2018
Sint-Andries;Torhoutse Steenweg - Magdalenaplein;winkels;n.o.p.;119;1;51.199995105524934;3.2042172327694756;02/05/2018
Assebroek;Nijverheidstraat thv 96;algemeen belang;;205;1;51.2060225159091;3.239806589082927;02/05/2018
Sint-Pieters;Sint-Paulusstraat t.h.v. kerk;Kerk Sint-Paulus;n.o.p.;156;1;51.22393963294634;3.2055406394922343;02/05/2018
Assebroek;Molenstraat t.h.v. nr. 57;algemeen belang;n.o.p.;13;1;51.193673459153395;3.263405055983212;02/05/2018
Assebroek;Daverlostraat 179;;;307;1;51.198086769540865;3.241575815399878;02/05/2018
Sint-Jozef;Fort Lapin tegenover 23;woningen personen met handicap vzw Oranje;;236;2;51.2228984206276;3.2294205777868723;02/05/2018
Sint-Andries;Abdijbekestraat t.h.v. nr. 9;Diensten Provinciebestuur;A 12;96;1;51.19975338005114;3.206696667819122;02/05/2018
Brugge;Komvest 38;particulier;;195;2;51.22071073107653;3.2247073774742114;02/05/2018
Brugge;Peterseliestraat 5;;;293;1;51.21614413979812;3.236701720759741;02/05/2018
Assebroek;Molenstraat t.h.v. nr. 103;algemeen belang;;12;1;51.19228298855076;3.2649477388097266;02/05/2018
Sint-Kruis;Geralaan (thv ingang sportcomplex);algemeen belang;;193;1;51.21892165390611;3.2454460343758353;02/05/2018
