Id;Type;Indeling;Materiaal;Kleur;Markering;Beheerder;Breedte;Rijrichtng;Lengte;Opp;latWGS84;loWGS84;Aangemaakt op
0;Vrijliggend;Eenrichting;Asfalt;Rood;Ja;Gewest;240;Mee;32;0;51.2194987225409,51.2194987225409,51.2194987225409,51.2194987225409;3.20946930113195,3.20946930113195,3.20946930113195,3.20946930113195;19/10/2017
0;Vrijliggend;Eenrichting;Asfalt;Niet van toepassing;Ja;Gewest;180;Mee;188;0;51.2870467314604,51.2870467314604,51.2870467314604,51.2870467314604,51.2870467314604,51.2870467314604,51.2870467314604,51.2870467314604;3.25016454730546,3.25016454730546,3.25016454730546,3.25016454730546,3.25016454730546,3.25016454730546,3.25016454730546,3.25016454730546;19/10/2017
0;Vrijliggend;Eenrichting;Beton;Niet van toepassing;Nee;Gewest;170;Mee;791;0;51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948,51.1641957821948;3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437,3.20725700034437;19/10/2017
0;Vrijliggend;Tweerichting;Asfalt;Niet van toepassing;Ja;Gewest;210;Mee;28;0;51.2524459470779,51.2524459470779;3.19233690120586,3.19233690120586;19/10/2017
0;Vrijliggend;Eenrichting;Slemlaag;Rood;Nee;Stad;220;Mee;23;0;51.2114683679739,51.2114683679739,51.2114683679739;3.20633120675712,3.20633120675712,3.20633120675712;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Gewest;200;;27;0;51.2347374134719,51.2347374134719;3.20332015057979,3.20332015057979;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Ja;Stad;130;Mee;7;0;51.2927694426908,51.2927694426908;3.19546218293679,3.19546218293679;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Nee;Gewest;150;Mee;12;0;51.1922800339254,51.1922800339254;3.23256197439532,3.23256197439532;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Stad;140;;76;0;51.2326143503444,51.2326143503444,51.2326143503444;3.20732145297505,3.20732145297505,3.20732145297505;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Ja;Stad;90;Mee;46;0;51.1885698533073,51.1885698533073,51.1885698533073;3.2112294686524,3.2112294686524,3.2112294686524;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Ja;Gewest;200;Mee;9;0;51.1998930995816,51.1998930995816;3.19454140835921,3.19454140835921;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Stad;270;Mee;88;0;51.2044542693741,51.2044542693741,51.2044542693741,51.2044542693741,51.2044542693741,51.2044542693741,51.2044542693741;3.18523065895732,3.18523065895732,3.18523065895732,3.18523065895732,3.18523065895732,3.18523065895732,3.18523065895732;19/10/2017
0;Vrijliggend;Eenrichting;Mozaïeken;Rood;Ja;Stad;170;Mee;42;0;51.2125948921532,51.2125948921532,51.2125948921532,51.2125948921532,51.2125948921532,51.2125948921532,51.2125948921532;3.23984228450285,3.23984228450285,3.23984228450285,3.23984228450285,3.23984228450285,3.23984228450285,3.23984228450285;19/10/2017
0;Vrijliggend;Eenrichting;Betonstraatstenen;Rood;Nee;Stad;120;;93;0;51.2722640105323,51.2722640105323,51.2722640105323,51.2722640105323,51.2722640105323,51.2722640105323,51.2722640105323;3.2220786852085,3.2220786852085,3.2220786852085,3.2220786852085,3.2220786852085,3.2220786852085,3.2220786852085;19/10/2017
0;Aanliggend verhoogd;Eenrichting;Betonstraatstenen;Rood;Ja;Gewest;150;Mee;719;0;51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481,51.196654380481;3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777,3.22411692732777;19/10/2017
0;Fietssuggestiestrook;Eenrichting;Slemlaag;Oker;Nee;Stad;100;Mee;42;0;51.2252587819655,51.2252587819655;3.21569512781788,3.21569512781788;19/10/2017
0;Fietssuggestiestrook;Eenrichting;Slemlaag;Rood;Nee;Stad;90;Mee;49;0;51.194433533784,51.194433533784;3.26526638777667,3.26526638777667;19/10/2017
0;Aanliggend verhoogd;Eenrichting;Betonstraatstenen;Rood;Nee;Gewest;150;Mee;87;0;51.203830830234,51.203830830234,51.203830830234,51.203830830234,51.203830830234,51.203830830234;3.20862255583011,3.20862255583011,3.20862255583011,3.20862255583011,3.20862255583011,3.20862255583011;19/10/2017
