Naam;Formule;Straat;HuisNr;HuisNrToev;Postcode;Deelgemeente;Gemeente;Branche;Wvo;Check_dat;Winkelgebied;Subcentrum;StrnmEnHuisnr;latWGS84;loWGS84;Aangemaakt op
Zeezicht;(Zelfst/nvt);Zeedijk;22;;8380;Zeebrugge;Brugge;59.210.434-Restaurant;;20090113;Zeebrugge-bad;Zeebrugge-bad;Zeedijk 22;51.3288612658087;3.17901512519535;05/07/2016
Pastis;(Zelfst/nvt);Speelmansrei;8;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Speelmansrei 8;51.2070048973188;3.21691729889036;05/07/2016
De Medici;(Zelfst/nvt);Geldmuntstraat;9;;8000;Brugge;Brugge;59.210.333-Lunchroom;;20090119;Centrum Brugge;Centrum Brugge;Geldmuntstraat 9;51.2089210088668;3.22245819284215;05/07/2016
Den Anker;(Zelfst/nvt);Katelijnestraat;52;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Katelijnestraat 52;51.2026365896588;3.22521534378919;05/07/2016
Vino Vino;(Zelfst/nvt);Grauwwerkersstraat;15;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Grauwwerkersstraat 15;51.2113055484911;3.22289776092093;05/07/2016
Brugotel;(Zelfst/nvt);Joseph Wautersstraat;61;;8200;Sint-Michiels;Brugge;59.210.235-Hotel-Rest;;20080204;Verspreide bewinkeling Sint-Michiels;Overig_Sint-Michiels;Joseph Wautersstraat 61;51.1921811318924;3.19912838611274;05/07/2016
De Klokke;(Zelfst/nvt);Brugse Steenweg;189;;8000;Koolkerke;Brugge;59.210.123-Café;;20080111;Verspreide bewinkeling Koolkerke;Overig_Koolkerke;Brugse Steenweg 189;51.2382720408775;3.24625415235191;05/07/2016
Poules Moules;(Zelfst/nvt);Simon Stevinplein;9;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Simon Stevinplein 9;51.2062812716963;3.22318900351247;05/07/2016
Pasta Maria;(Zelfst/nvt);Sint-Salvatorskerkhof;13;;8000;Brugge;Brugge;59.210.180-Bezorg/Halen;;20090119;Centrum Brugge;Centrum Brugge;Sint-Salvatorskerkhof 13;51.2049559128434;3.22143398576469;05/07/2016
Tuf-Tuf;(Zelfst/nvt);Ketsbruggestraat;1;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20080219;Verspreide bewinkeling Brugge;Overig_Brugge;Ketsbruggestraat 1;51.1981896894922;3.22075185066067;05/07/2016
