Id;Paalnr;Straatnaam;Huisnummer;Locatie;Inplanting;Aantalpijl;Hotelnaam1;Aantster1;_2zijden1;Staatpijl1;Richting1;Hotelnaam2;Aantster2;_2zijden2;Staatpijl2;Richting2;Hotelnaam3;Aantster3;_2zijden3;Staatpijl3;Hotelnaam4;Aanster4;_2zijden4;Staatpijl4;Hotelnaam5;Aantster5;_2zijden5;Staatpijl5;Hotelnaam6;Aantster6;_2zijden6;Staatpijl6;Richting3;Richting4;Richting5;Richting6;Foto;Hotelnaam7;Aantster7;_2zijden7;Staatpijl7;Richting7;Hotelnaam8;Aantster8;_2zijden8;Staatpijl8;Richting8;Hotelnaam9;Aanster9;_2zijden9;Richting;Staatpijl9;Hotelnm10;Aantster10;_2zijden10;Richting10;Hotelnm11;Aantster11;_2zijden11;Staat11;Richting11;Staat10;latWGS84;loWGS84;Aangemaakt op
30;30;Kartuizerinnenstraat;0;Hoek Wollestraat;Voetpad;3;Relais Bourg Cruyce;4;Nee;Goed;Links;Martin's Brugge;3;Ja;Goed;Rechts;De Orangerie;4;Ja;Goed;;0;Nee;;;0;Nee;;;0;Nee;;Rechts;;;;foto/DSC07321.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2072511180451;3.22653200687625;15/09/2016
37;37;Markt;0;Hoek Breidelstraat;Voetpad;6;Duc de Bourgogne;3;Ja;Goed;Rechts;Bourgoensch Hof;3;Ja;Kleinde beschadeging aan de sterren;Rechts;Relais Bourg Cruyce;4;Nee;Goed;De uilerieën;4;Ja;Goed;Malleberg?;3;Ja;Helft van de letters zijn weg;De orangerie;4;Ja;Goed;Rechts;Rechts;Rechts;Rechts;foto/DSC07275.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2085063023878;3.22510840079398;15/09/2016
28;28;Dijver;1;Kruispunt Wollestraat;Voetpad;9;Oud huis de Peellaert;4;Nee;Alle letters weg;Front;Crowne Plaza;4;Nee;Goed;Front;Botaniek;3;Nee;Goed;Romantik Pandhotel;4;Nee;Goed;Malleberg;3;Nee;Goed;Patritius;3;Nee;Goed;Front;Front;Front;Front;foto/DSC07322.JPG;Jan Brito;3;0;Sterren zijn weg;Front;Koffieboontje;4;0;Goed;Back;De Tuilerieën;4;0;Back;Goed;;0;0;;;0;0;;;;51.2068783892526;3.22717574553447;15/09/2016
20;20;Visspaanstraat;0;Hoek met Katelijnestraat;Voetpad;2;Montanus;2;Nee;Goed;Rechts;Manoir Red;4;Nee;Goed;Rechts;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07298.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2000374955047;3.22907878098861;15/09/2016
32;32;Peerdenstraat;31;Tegen gevel, hoek Predikherenstraat;Voetpad;2;Die Swaene;4;Ja;Goed;Front;Duc de Bourgogne;3;Ja;Goed;Front;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07332.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.208617933238;3.23055359896697;15/09/2016
65;65;Hoogstraat;0;Hoek Mallebergplaats;voetpad;1;cordoeanier;2;Nee;goed;Front/Rechts;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/hoogstraat.PNG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2090944154502;3.2279277543691;15/09/2016
34;34;Langestraat;19;Rechtover Predikherenstraat;Voetpad;6;Relais Ravestein;4;Nee;Alle letters weg;Front;Oud huis de Peelaert;4;Nee;Veel letters los of weg;Front;Crowne Plaza;4;Nee;Goed;Malleberg;3;Nee;Letters los;Patritius;3;Nee;Redelijk;Rosenburg;4;Ja;Goed;Front;Front;Front;Links;foto/DSC07335.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2097200809618;3.23236979410492;15/09/2016
12;12;Zuidzandstraat;0;Zuidzandstraat/Zilverstraat;Voetpad;11;LybeerL;0;Nee;Scheef;Back/Rechts;Castillion;4;Nee;Goed;Back/Rechts;Salvators;2;Nee;Goed;Bonobo;2;Ja;Goed;Hotel Bla Bla;2;Ja;GoedL;Hotel Dukes' palace;4;Ja;Goed;Back/Rechts;Rechts;Back/Links;Links;foto/DSC07261.JPG;Acacia;4;0;Goed;Links;Van Eyck;2;0;Goed;Links;Du Sablon;3;0;Front/Links;Goed;Prinsenhof;4;0;Links;Azalea;4;0;Groen;Rechts;Geplooid + groen;51.2057781256668;3.22089723550875;15/09/2016
66;66;Jozef Suvéestraat;0;Hoek Braambergstraat;Rijbaan;1;Botaniek;3;Nee;Goed;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07324.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.207590427445;3.22854933664225;15/09/2016
6;6;'t Zand;0;Hoek 't Zand-Zuidzandstraat;Voetpad;8;Groenighe;0;Nee;Goed;Back/Rechts;Lybeer;0;Nee;Geplooid;Back/Rechts;Portinari;4;Nee;Goed;Parkhotel;4;Nee;Goed;Sablon;3;Nee;'a' is weg;'t putje;1;Nee;Goed;Front/Links;Front/Links;Front/Links;Back/Rechts;foto/DSC07257.JPG;Salvators;2;0;Goed;Front/Rechts;Castillion;4;0;Letters half weg;Back/Rechts;;0;0;;;;0;0;;;0;0;;;;51.2050917341213;3.21799942132569;15/09/2016
19;19;Katelijnestraat;0;Katelijnestraat/Arsenaalstraat;voetpad;1;Egmand;3;Ja;Goed, sticker op de tekst;Links;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07297.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2014515141708;3.22741916166965;15/09/2016
79;79;Molenmeers;0;Hoek Langestraat;Voetpad;1;Relais Ravestein;4;Nee;Goed;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07338.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2097571515722;3.23176560099019;15/09/2016
