Id;Nr;Id_1;Wijk;Naam;Capaciteit;Ingenomen;Beschikbaar;Bewoner;Buitenlander;Andere;Bezet;Bezetgraad;AandBew;AandBuit;AandAnder;latWGS84;loWGS84;Aangemaakt op
0;502501;502501;5;Sint-Annaplein kant huizen (noord);17;;17;8;0;9;9;1;0.47058823529412;0;0.52941176470588;51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244,51.2118828451244;3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316,3.23156251372316;12/08/2016
0;601209;601209;6;Langestraat (Predikherenstraat - Ganzenstraat) paar (zuid);0;;0;0;0;0;0;0;0;0;0;51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914,51.2096374253914;3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434,3.2324511385434;12/08/2016
0;800901;800901;8;Groeninge (Dijver - Kastanjeboomstraat) onpaar (oost);0;;0;0;0;0;0;0;0;0;0;51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571,51.2056986788571;3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105,3.22549635012105;12/08/2016
0;801002;801002;8;Gruuthusestraat onpaar (zuid);0;;0;0;0;0;0;0;0;0;0;51.2052057397795,51.2052057397795,51.2052057397795,51.2052057397795;3.22437390645841,3.22437390645841,3.22437390645841,3.22437390645841;12/08/2016
0;202502;202502;2;Sint-Jakobsstraat (Naaldenstraat - Moerstraat) paar (oost);1;;1;0;0;5;5;5;0;0;1;51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249,51.2109740970249;3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801,3.22098343462801;12/08/2016
0;500510;500510;5;Carmersstraat (Korte Rijkepijndersstraat - Korte Ropeerdstraat) paar (zuid);0;;0;0;0;0;0;0;0;0;0;51.213861455097,51.213861455097,51.213861455097,51.213861455097;3.23233350908367,3.23233350908367,3.23233350908367,3.23233350908367;12/08/2016
0;202605;202605;2;Sint-Jorisstraat (Pottenmakersstraat - Poitevinstraat) onpaar (west);0;;0;0;0;0;0;0;0;0;0;51.2126875209913,51.2126875209913,51.2126875209913,51.2126875209913;3.22188594967555,3.22188594967555,3.22188594967555,3.22188594967555;12/08/2016
0;600816;600816;6;Kazernevest (Balsemboomstraat - Sint-Brunostraat) kant huizen (west);0;;0;0;0;0;0;0;0;0;0;51.2096259739668,51.2096259739668;3.24033290606993,3.24033290606993;12/08/2016
0;500511;500511;5;Carmersstraat (Korte Ropeerdstraat - Korte Speelmansstraat) paar (zuid);0;;0;0;0;0;0;0;0;0;0;51.214140934111,51.214140934111,51.214140934111,51.214140934111,51.214140934111;3.23331936469402,3.23331936469402,3.23331936469402,3.23331936469402,3.23331936469402;12/08/2016
0;701401;701401;7;Pandreitje (Braambergstraat - Waalsestraat) paar (oost);8;;8;4;0;3;3;0.875;0.57142857142857;0;0.42857142857143;51.207327798314,51.207327798314;3.22799308044622,3.22799308044622;12/08/2016
