SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;23/4/2012;Med 30-40;8:0;9:0;15;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;9:0;10:0;28;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;10:0;11:0;22;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;11:0;12:0;15;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;12:0;13:0;12;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;13:0;14:0;19;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;14:0;15:0;11;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;15:0;16:0;14;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;16:0;17:0;8;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;17:0;18:0;11;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;18:0;19:0;12;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;19:0;20:0;7;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;20:0;21:0;2;;;08/07/2016
RUZ01;23/4/2012;Med 30-40;21:0;22:0;3;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;6:0;7:0;9;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;7:0;8:0;23;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;8:0;9:0;91;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;9:0;10:0;36;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;10:0;11:0;22;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;11:0;12:0;12;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;12:0;13:0;20;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;13:0;14:0;21;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;14:0;15:0;27;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;15:0;16:0;22;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;16:0;17:0;10;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;17:0;18:0;16;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;18:0;19:0;13;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;19:0;20:0;9;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;20:0;21:0;4;;;08/07/2016
RUZ01;23/4/2012;Med <=30kmu ;22:0;23:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa >60kmu;5:0;6:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa >60kmu;11:0;12:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 50-60;6:0;7:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 50-60;15:0;16:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 50-60;20:0;21:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;0:0;1:0;1;;;08/07/2016
