Naam;Bijnaam;Straat;nr;postcode;plaats;man;afvalemMan;vrouw;afvalemVrouw;invalide;baby;prijs;maO;maD;DiO;DiD;WoeO;WoeD;DoO;DoD;VrO;VrD;ZaO;ZaD;ZoO;ZoD;Opmerking;latWGS84;loWGS84;Aangemaakt op
Urinoir thv. Paviljoen parking;Brugge centrum;t Zand-Noorzandstraat;7;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.20570902494293;3.2174842670033237;06/07/2018
AC Brugse Vrije;Brugge centrum;Burg;11;8000;Brugge;x;;x;;;x;0.5;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;April-oktober 09.30 > 18.00 November-maart 09.30 > 17.30.;51.20857436251185;3.2275954758807006;06/07/2018
Urinoir thv. Spoorwegbrug;Sint-Pieters;Sint-Pieterskerklaan;;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.23166410206713;3.2046096379731384;06/07/2018
Dienstencentrum De Garve;Sint-Jozef;Pannebekestraat;33;8000;Brugge;x;;x;;x;;0.0;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;000000.000;000000.000;000000.000;000000.000;Dinsdag en woensdag gesloten van 12:30-14:00.;51.22722325030061;3.232487838222076;06/07/2018
Stadshallen;Brugge centrum;Markt;7;8000;Brugge;x;;x;;x;x;0.5;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;Juli-aug van 09.30 > 18.00 Alle dagen open, enkel gesloten op Kerstdag.;51.20798658296895;3.225170949012171;06/07/2018
Urinoir thv. Kruispoort;Brugge centrum;Langestraat;;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.21245815125323;3.240085446507971;06/07/2018
Urinoir thv. de vrijwilligerscentrale;Brugge centrum;Kraanplein;5;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.21035826010885;3.2251202049143535;06/07/2018
Urinoir thv. Koningin Astridpark;Brugge centrum;Park;1;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.20695848110515;3.230435419425158;06/07/2018
Urinoir thv. OLV-kerk;Brugge centrum;Mariastraat;36;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.20439559302065;3.224602225256062;06/07/2018
Dienstencentrum Van Volden;Brugge centrum;Joris Dummeryplein;1;8000;Brugge;x;;x;;x;;0.0;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.202080995785586;3.2158545707459396;06/07/2018
Dienstencentrum De Balsemboom;Brugge centrum;Ganzenstraat;33;8000;Brugge;x;;x;;x;;0.0;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.20876447411389;3.2354352800610835;06/07/2018
Kerkhof;Ver Assebroek;Pastoor Verhaegheplein;;8310;Brugge;x;;x;;x;;0.0;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;01/04 tot 15/10 open van 08:00-18:00, 16/10 tot 31/03 open van 08:00-17:00 1 toilet voor 3 doelgroepen;51.187904266703335;3.2745837804781357;06/07/2018
Urinoir thv. Stella-Mariskerk;Zeebrugge;Bastenakenstraat;;8380;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.327981527931534;3.1826961884176943;06/07/2018
